statement,class_id,class_name
void *i = (void *) temp;,7,Pointer Operation
assert(err <= 110);,4,Function Call
return sum + flag;,5,Return
do { } while (sum > 41);,1,Loop
return (z == z) ? 1 : 0;,5,Return
"count = calloc(126, sizeof(uint8_t));",13,Memory Allocation
const long code = 104;,3,Declaration
x = 64 + 114;,0,Assignment
for (int total = 0; temp < 48; value++) n++;,9,Increment/Decrement
float *n = (float *) malloc(sizeof(double) * 80);,13,Memory Allocation
if (fclose(temp) < 95) { },2,Conditional
code->tail++;,9,Increment/Decrement
if (offset == z) { },2,Conditional
(j--);,9,Increment/Decrement
fclose(len);,4,Function Call
while (result != 50) { },1,Loop
for (int k = 54 - 1; n >= 0; j--) { },1,Loop
err->flags = sum;,8,Struct Access
"printf(""%s\n"", code);",4,Function Call
value = total * 61;,0,Assignment
table[8] = value;,6,Array Access
z = fopen(total);,0,Assignment
char j[119];,3,Declaration
log();,4,Function Call
return (ret > 71) ? j : 69;,5,Return
if (i != 73) { },2,Conditional
"printf(""%d\n"", err);",4,Function Call
"if ((j = calloc(92, sizeof(uint8_t))) == NULL) { }",13,Memory Allocation
return sizeof(uint32_t);,5,Return
double total = scanf(ret);,3,Declaration
"atoi(z, k, 123);",4,Function Call
flag = z ^ offset;,10,Bitwise Operation
return memset(flag);,5,Return
x = i | (1 << 93);,10,Bitwise Operation
const uint32_t i = abs(sum);,3,Declaration
if (k != 0) { },2,Conditional
result.prev = x.key;,8,Struct Access
int z = static_cast<int>(n);,12,Cast Expression
if (z == 51 || count == 107) { },2,Conditional
ret = &j;,7,Pointer Operation
int64_t *size = reinterpret_cast<uint32_t *>(j);,12,Cast Expression
long index = (bool) index / 26;,12,Cast Expression
size = err - 69;,0,Assignment
if (n & 92) { },10,Bitwise Operation
double *k = new int64_t[51];,13,Memory Allocation
len = len / 1;,0,Assignment
value = !y;,11,Logical Expression
assert(flag != result);,14,Exception Handling
i = !(y != 7);,11,Logical Expression
while (code > 0) { },1,Loop
n <<= 1;,9,Increment/Decrement
value = sum * 125;,0,Assignment
fclose(abs(offset));,4,Function Call
return ret / 16;,5,Return
*len = *j + 62;,7,Pointer Operation
uint8_t *temp = (float *) x;,7,Pointer Operation
if (offset < 76) { },2,Conditional
"if ((index = calloc(73, sizeof(bool))) == NULL) { }",13,Memory Allocation
"bool *y = calloc(66, sizeof(long));",13,Memory Allocation
(j++);,9,Increment/Decrement
return fclose(total);,5,Return
ret = result & ~123;,10,Bitwise Operation
while (count > 0) { },1,Loop
static size_t err = 110;,3,Declaration
offset->len = strlen(index);,8,Struct Access
sum = (long) (k + k);,12,Cast Expression
len = malloc(sizeof(double));,13,Memory Allocation
uint32_t result = offset * 82;,3,Declaration
auto err = 77;,3,Declaration
n = *size;,7,Pointer Operation
if (abs(flag) > 0) { },2,Conditional
len = value / temp;,0,Assignment
free(index); err = NULL;,13,Memory Allocation
const int n = rand(ret);,3,Declaration
temp = vals[20];,6,Array Access
offset.head = code;,8,Struct Access
ret = 48 * 61;,0,Assignment
return result->tail;,8,Struct Access
"log(result, err);",4,Function Call
size = (int) y * 47;,12,Cast Expression
long *count = new long[72];,13,Memory Allocation
ret |= k;,10,Bitwise Operation
++j;,9,Increment/Decrement
bool sum[54];,3,Declaration
for (int sum = 0; size < 97; result++) flag++;,9,Increment/Decrement
rand();,4,Function Call
"fopen(count, 46);",4,Function Call
free(index);,4,Function Call
"throw std::invalid_argument(""invalid "" + std::to_string(j));",14,Exception Handling
*n -= 66;,7,Pointer Operation
if (z && err) { },2,Conditional
size.data = 85;,8,Struct Access
result->next = atoi(index);,8,Struct Access
"fclose(value, value, len);",4,Function Call
if (size) { },2,Conditional
count = count << 7;,10,Bitwise Operation
"if (index > 63) throw std::out_of_range(""overflow"");",14,Exception Handling
if (rand(size) != 125) { },2,Conditional
const char ret = 81;,3,Declaration
bool total = code || !i;,11,Logical Expression
n.prev++;,8,Struct Access
return n > 0 && z < 64;,5,Return
if (z && !j) { },11,Logical Expression
"throw std::runtime_error(""err"");",14,Exception Handling
return index >= 0;,5,Return
(++offset);,9,Increment/Decrement
y = vals[z];,6,Array Access
"strlen(total, n);",4,Function Call
uint32_t temp = (int64_t) flag;,12,Cast Expression
if (fclose(offset) && sum > 51) { },11,Logical Expression
nums[43] = y;,6,Array Access
x.data = 50;,8,Struct Access
"result = realloc(x, sizeof(bool) * 20);",13,Memory Allocation
return sizeof(float);,5,Return
return temp > 0 && size < 6;,5,Return
count.tail = 100;,8,Struct Access
err = err | i;,10,Bitwise Operation
"z = realloc(z, 14);",13,Memory Allocation
size_t *total = (int *) malloc(sizeof(uint8_t) * 102);,13,Memory Allocation
err = !(offset < 65);,11,Logical Expression
*k = 0;,7,Pointer Operation
"scanf(""%d"", &flag);",4,Function Call
n.left += 121;,8,Struct Access
for (int j = 95 - 1; err >= 0; value--) { },1,Loop
*j = 0;,7,Pointer Operation
*x = y;,7,Pointer Operation
(++code);,9,Increment/Decrement
for (int size = 15; n > 0; size--) { },1,Loop
n = 0;,0,Assignment
flag = buf[n][len];,6,Array Access
"value = (int *) calloc(44, sizeof(uint32_t));",13,Memory Allocation
i = memset(x) + 67;,0,Assignment
x = arr[x] + arr[x];,6,Array Access
assert(k > 0);,14,Exception Handling
delete[] flag;,13,Memory Allocation
try { } catch (const std::invalid_argument &value) { } catch (...) { },14,Exception Handling
--nums[k];,9,Increment/Decrement
if (size == 49 || total == 56) { },2,Conditional
code = offset >> 52;,10,Bitwise Operation
if (!(temp && flag)) { },11,Logical Expression
z = value * 100;,0,Assignment
while (total < 82 && k > 0) { },1,Loop
return !code;,5,Return
if (code <= 72) { },2,Conditional
--(*value);,9,Increment/Decrement
char ret = (int64_t) z;,12,Cast Expression
throw std::bad_alloc(std::to_string(j));,14,Exception Handling
static int64_t z;,3,Declaration
if (k || n) { },11,Logical Expression
switch (ret) { },2,Conditional
"static_assert(sizeof(bool) == 22, ""size mismatch"");",14,Exception Handling
(ret--);,9,Increment/Decrement
"return memset(code, 107);",5,Return
throw std::runtime_error();,14,Exception Handling
(*total)++;,9,Increment/Decrement
if (!j && total) { },11,Logical Expression
"int flag = 0, y = 2;",3,Declaration
temp->val++;,8,Struct Access
"throw std::invalid_argument(""code"");",14,Exception Handling
if (flag) { },2,Conditional
arr[z]++;,6,Array Access
int sum = log(value);,3,Declaration
x = !(x < 88);,11,Logical Expression
k = x / code;,0,Assignment
if (atoi(j) != 26) { },2,Conditional
"float *index = calloc(116, sizeof(float));",13,Memory Allocation
size = n & flag;,10,Bitwise Operation
i = len ? 37 : 55;,0,Assignment
return count + 47;,5,Return
if (z == NULL) throw std::out_of_range();,14,Exception Handling
free(flag); k = NULL;,13,Memory Allocation
(count++);,9,Increment/Decrement
if (count) { },2,Conditional
flag = len / 72;,0,Assignment
"strlen(&k, 104);",4,Function Call
"float n, total;",3,Declaration
return sum + size;,5,Return
if ((ret & 122) == 0) { },10,Bitwise Operation
while (total >= 87 && code > 0) { },1,Loop
index = n ^ 10;,10,Bitwise Operation
if (temp > 0 && len < 1) { },2,Conditional
i++;,9,Increment/Decrement
"offset = calloc(96, sizeof(int));",13,Memory Allocation
"if (code < 0) throw std::out_of_range(""temp"");",14,Exception Handling
"memset(total, 0, 102);",13,Memory Allocation
sum = new double();,13,Memory Allocation
if (!index || !x) { },11,Logical Expression
err = 42;,0,Assignment
err.len--;,9,Increment/Decrement
y = code.val;,8,Struct Access
uint32_t *sum = reinterpret_cast<float *>(total);,12,Cast Expression
table[77] = result;,6,Array Access
if (strlen(j) && size == 32) { },11,Logical Expression
len = *(count + 32);,7,Pointer Operation
bool k = !result && !y;,11,Logical Expression
buf[value][sum] = 42;,6,Array Access
memset(36);,4,Function Call
switch (temp) { },2,Conditional
for (int code = 1; i < 55; result *= 2) { },1,Loop
len = (value != 82) || (total < 71);,11,Logical Expression
"printf(""%d %d\n"", y, total);",4,Function Call
return code > 0 && total < 77;,5,Return
char flag = temp;,3,Declaration
if (size > 76 && result < 79) { },2,Conditional
long z = !x;,11,Logical Expression
return (n > 122) ? offset : 40;,5,Return
offset = (uint8_t) count;,12,Cast Expression
if (ret == NULL) { },2,Conditional
count >>= 11;,9,Increment/Decrement
err = matrix[len][x];,6,Array Access
total <<= 118;,9,Increment/Decrement
n->size++;,9,Increment/Decrement
if (z == flag) { },2,Conditional
if ((y == 10) && (offset > 66)) { },2,Conditional
if ((double) x == 73) { },12,Cast Expression
offset = reinterpret_cast<char *>(result);,12,Cast Expression
int64_t flag = temp * 94;,3,Declaration
assert(n < 45);,14,Exception Handling
if (j->size < 74) { },8,Struct Access
(--len);,9,Increment/Decrement
"memcpy(result, &result);",4,Function Call
"float *size = calloc(124, sizeof(size_t));",13,Memory Allocation
ret->len = 113;,8,Struct Access
if (total == sum && value != 15) { },2,Conditional
return result * 39;,5,Return
long err[49][81];,3,Declaration
double k = !y;,11,Logical Expression
(--size);,9,Increment/Decrement
if (result == sum && n != 81) { },2,Conditional
switch (temp) { },2,Conditional
y = *((long *) flag);,7,Pointer Operation
result = ~j;,10,Bitwise Operation
assert(i != NULL);,14,Exception Handling
total = log(y);,0,Assignment
if ((x <= 72) || (count < 88) || err) { },11,Logical Expression
int total = static_cast<bool>(err);,12,Cast Expression
return ret + j;,5,Return
j = exp(i) + 43;,0,Assignment
total = sizeof(bool);,0,Assignment
x <<= 1;,9,Increment/Decrement
if (temp.flags >= 12) { },8,Struct Access
throw std::out_of_range(std::to_string(result));,14,Exception Handling
*result = *size + 19;,7,Pointer Operation
"return sqrt(i, 59);",5,Return
while (code < 19) { },1,Loop
if ((n & 17) == 0) { },10,Bitwise Operation
"k = (char *) calloc(66, sizeof(bool));",13,Memory Allocation
k = (double) count * 10;,12,Cast Expression
k <<= 1;,9,Increment/Decrement
while (z) { },1,Loop
"if (y != 43) throw std::invalid_argument(""k"");",14,Exception Handling
j->left += 57;,8,Struct Access
uint8_t i = j * 25;,3,Declaration
for (int x = 0; size < 101; ret++) stack[code] = 0;,6,Array Access
return 5;,5,Return
result = (z != 83) || (result >= 16);,11,Logical Expression
len = new long[125];,13,Memory Allocation
"printf(""%d %d\n"", value, z);",4,Function Call
static int64_t count = 90;,3,Declaration
j++;,9,Increment/Decrement
z = 0;,0,Assignment
if (sum > 88 && ret < 106) { },2,Conditional
code = size || k;,11,Logical Expression
sum.tail++;,8,Struct Access
(*x)++;,9,Increment/Decrement
bool index = static_cast<uint8_t>(n);,12,Cast Expression
sum = new int64_t[91];,13,Memory Allocation
code >>= 1;,9,Increment/Decrement
"return printf(result, 36);",5,Return
"printf(""%d %d\n"", z, sum);",4,Function Call
size = index - temp;,0,Assignment
return y->head;,8,Struct Access
j.head = 115;,8,Struct Access
uint32_t *ret = new size_t[93];,13,Memory Allocation
if (!j || i > 25) { },2,Conditional
while (index > 82 && index > 0) { },1,Loop
total = value + 111;,0,Assignment
return memcpy(z);,5,Return
for (; count < 116;) { },1,Loop
return (uint32_t) len;,12,Cast Expression
(*x)++;,9,Increment/Decrement
if (table[offset] == 14) { },6,Array Access
"printf(""%s\n"", value);",4,Function Call
while (flag > 0) { },1,Loop
int *index = (double *) code;,12,Cast Expression
if ((err = malloc(sizeof(int64_t))) == NULL) { },13,Memory Allocation
static size_t count = 35;,3,Declaration
offset->head += 97;,8,Struct Access
bool *j = reinterpret_cast<char *>(code);,12,Cast Expression
fclose(n);,4,Function Call
err->head++;,9,Increment/Decrement
const int64_t i = size + 61;,3,Declaration
delete[] value;,13,Memory Allocation
list[len + 29] = count;,6,Array Access
flag = y / k;,0,Assignment
*z = log(total);,7,Pointer Operation
offset->tail++;,8,Struct Access
"throw std::runtime_error(""invalid "" + std::to_string(len));",14,Exception Handling
size = size << 11;,10,Bitwise Operation
if (!(size || i)) { },11,Logical Expression
"log(n, fclose(total));",4,Function Call
offset->flags++;,8,Struct Access
z |= ret;,10,Bitwise Operation
i.prev = z.tail + 93;,8,Struct Access
static bool code = 122;,3,Declaration
*n = 0;,7,Pointer Operation
if (ret > 11 && offset < 3) { },2,Conditional
*flag += 113;,7,Pointer Operation
if (!sum) { },2,Conditional
obj_destroy(z);,4,Function Call
j = count ^ j;,10,Bitwise Operation
index = ~total;,10,Bitwise Operation
return (z == size) ? 1 : 0;,5,Return
value = z * flag;,0,Assignment
return 89;,5,Return
return NULL;,5,Return
nums[z] += 96;,6,Array Access
extern float y;,3,Declaration
(*total)++;,9,Increment/Decrement
static uint32_t flag;,3,Declaration
size_t flag = static_cast<double>(code);,12,Cast Expression
for (; value < 71;) { },1,Loop
return flag == 109;,5,Return
if (n == NULL) throw std::invalid_argument();,14,Exception Handling
count = ret->flags + 11;,8,Struct Access
value->right--;,8,Struct Access
if (k != 0) { },2,Conditional
offset = n >> 53;,10,Bitwise Operation
++(*index);,9,Increment/Decrement
int64_t offset = (size_t) 98;,3,Declaration
"printf(""%d %d\n"", count, size);",4,Function Call
temp.left = j;,8,Struct Access
for (int err = 0; temp < 96; result++) table[sum] = 0;,6,Array Access
code = reinterpret_cast<uint32_t *>(z);,12,Cast Expression
catch (std::invalid_argument &x) { },14,Exception Handling
"int64_t sum = abs(result, 107);",3,Declaration
"printf(""%d\n"", n);",4,Function Call
while ((k = memcpy(x)) > 0) { },1,Loop
bool *offset = reinterpret_cast<double *>(i);,12,Cast Expression
*index = len;,7,Pointer Operation
try { } catch (std::bad_alloc &k) { },14,Exception Handling
static long flag = 67;,3,Declaration
atoi(30);,4,Function Call
scanf(fclose(ret));,4,Function Call
long i = log(z);,3,Declaration
n = err * value;,0,Assignment
y = j * 47;,0,Assignment
if (offset != 14) { },2,Conditional
"strlen(y, &result);",4,Function Call
y = &nums[j];,7,Pointer Operation
y = data[value] + 39;,6,Array Access
y = (code | 84) << 57;,10,Bitwise Operation
sum = list[n] + table[sum];,6,Array Access
delete index;,13,Memory Allocation
if (n > 0 && j < 42) { },2,Conditional
assert(count != j);,14,Exception Handling
n = sum << 52;,10,Bitwise Operation
offset >>= 26;,9,Increment/Decrement
return (count == value) ? 1 : 0;,5,Return
temp = !(y != 99);,11,Logical Expression
list[z] = sum;,6,Array Access
"printf(temp, n, result);",4,Function Call
offset = malloc(sizeof(bool));,13,Memory Allocation
err.head = scanf(count);,8,Struct Access
return size % 56 == 0;,5,Return
++ret;,9,Increment/Decrement
return (uint32_t) count;,12,Cast Expression
k &= 16;,10,Bitwise Operation
"printf(""len"", 87);",4,Function Call
return i == 1;,5,Return
float n = static_cast<uint32_t>(k);,12,Cast Expression
stack[result]++;,9,Increment/Decrement
if ((k = malloc(sizeof(uint32_t))) == NULL) { },13,Memory Allocation
return sizeof(int);,5,Return
return k / 32;,5,Return
for (int result = 0; y < 51; k += 2) { },1,Loop
delete[] y;,13,Memory Allocation
j->tail = 71;,8,Struct Access
offset = NULL;,0,Assignment
x = *(total + 44);,7,Pointer Operation
"int temp = 0, i = 81;",3,Declaration
ret = new int64_t();,13,Memory Allocation
if (memset(z) || n == 54) { },11,Logical Expression
value = sizeof(uint8_t);,0,Assignment
catch (const std::bad_alloc &y) { },14,Exception Handling
long y = fclose(value);,3,Declaration
bool offset = (long) j;,12,Cast Expression
*offset += 11;,7,Pointer Operation
assert(count <= 66);,14,Exception Handling
stack[result]++;,6,Array Access
if (j) { },2,Conditional
temp = size | y;,10,Bitwise Operation
ret = nums[52];,6,Array Access
total = &queue[size];,7,Pointer Operation
temp = new uint32_t[23];,13,Memory Allocation
table[j - 1] = 111;,6,Array Access
do { } while (z);,1,Loop
"throw std::invalid_argument(""size"");",14,Exception Handling
"int64_t err, result;",3,Declaration
return NULL;,5,Return
if (y > 111) { },2,Conditional
strlen(value);,4,Function Call
count = result & 63;,10,Bitwise Operation
return -1;,5,Return
for (int total = 0; size < 118; size += 2) { },1,Loop
result.left++;,9,Increment/Decrement
for (int ret = 0; k < 73; len++) vals[sum] = 0;,6,Array Access
if (total != 70) { },2,Conditional
if (count != 0) throw std::out_of_range();,14,Exception Handling
j = matrix[size];,6,Array Access
matrix[k]++;,6,Array Access
return flag - 95;,5,Return
while (total > 0) { },1,Loop
return index >= 0;,5,Return
return 7;,5,Return
(i--);,9,Increment/Decrement
for (bool y = 0; sum < 50; code++) { },1,Loop
"if (len != 33) throw std::runtime_error(""k"");",14,Exception Handling
j = (size_t) len * 84;,12,Cast Expression
int64_t *flag = reinterpret_cast<uint32_t *>(i);,12,Cast Expression
(--index);,9,Increment/Decrement
if ((long) offset == 42) { },12,Cast Expression
if (data[total] == 90) { },6,Array Access
value = 7 + 13;,0,Assignment
if (vals[result] == 16) { },6,Array Access
return x == NULL;,5,Return
uint8_t *i = (int64_t *) len;,7,Pointer Operation
if ((i & 56) != 0) { },10,Bitwise Operation
return z != NULL;,5,Return
*code = k;,7,Pointer Operation
sum = new int[21];,13,Memory Allocation
double value = (ret || count);,11,Logical Expression
return offset - 103;,5,Return
return !count;,5,Return
for (int count = 0; flag <= 23; sum++) { },1,Loop
temp = stack[value] + 43;,6,Array Access
do { } while (--i > 0);,1,Loop
void *j = (void *) total;,7,Pointer Operation
queue[n] = list[k - 1];,6,Array Access
(*count)--;,7,Pointer Operation
if (!ret) { },2,Conditional
long z = (int64_t) k / 35;,12,Cast Expression
const double sum = flag + 68;,3,Declaration
while (!sum) { },1,Loop
return err > 0 && offset < 104;,5,Return
len.len++;,9,Increment/Decrement
int64_t total = (n && temp);,11,Logical Expression
i = ret - 29;,0,Assignment
(offset--);,9,Increment/Decrement
return 121;,5,Return
if (*len == 98) { },7,Pointer Operation
for (int total = 0; len < 69; j += 2) { },1,Loop
offset.tail = y.head;,8,Struct Access
uint32_t flag = offset;,3,Declaration
if (count == z && x != 100) { },2,Conditional
(++value);,9,Increment/Decrement
y = (ret | 5) << 14;,10,Bitwise Operation
"if (z > 59) throw std::invalid_argument(""overflow"");",14,Exception Handling
j = err / count;,0,Assignment
if (sum.right != 60) { },8,Struct Access
char result = code;,3,Declaration
"x = (size_t *) calloc(82, sizeof(int));",13,Memory Allocation
if (temp->tail == NULL) { },8,Struct Access
"if (z > 65) throw std::bad_alloc(""overflow"");",14,Exception Handling
ret = flag + sum;,0,Assignment
return 66;,5,Return
flag = j + total + 26;,0,Assignment
len = total;,0,Assignment
(*k)--;,7,Pointer Operation
err <<= 97;,9,Increment/Decrement
void *flag = (void *) flag;,7,Pointer Operation
for (ret = 0; code < 68; z++) { },1,Loop
offset = (void *) z;,12,Cast Expression
catch (std::runtime_error &k) { },14,Exception Handling
if ((int) code < 96) { },12,Cast Expression
"bool *i = (float *) realloc(sum, 120);",13,Memory Allocation
while ((total = fclose(len)) > 0) { },1,Loop
if (index != NULL) { },2,Conditional
total = err << 45;,10,Bitwise Operation
stack[len] -= 45;,6,Array Access
i++;,9,Increment/Decrement
i = malloc(sizeof(int64_t));,13,Memory Allocation
nums[56] = atoi(y);,6,Array Access
struct tree k;,3,Declaration
*offset += 69;,7,Pointer Operation
queue[total] = 93;,6,Array Access
bool y = size || !index;,11,Logical Expression
i->len = 35;,8,Struct Access
bool offset = (n && ret);,11,Logical Expression
(*y)++;,9,Increment/Decrement
return len + total;,5,Return
delete x;,13,Memory Allocation
fclose(y);,4,Function Call
count ^= 119;,10,Bitwise Operation
temp->head += 96;,8,Struct Access
return i == NULL;,5,Return
count = nums[108 - 1];,6,Array Access
if (!k || !temp) { },11,Logical Expression
assert(sum != NULL);,14,Exception Handling
temp = z / 21;,0,Assignment
assert(sum < 100);,14,Exception Handling
err = new bool();,13,Memory Allocation
return (int64_t) count;,12,Cast Expression
if (!(result && temp)) { },11,Logical Expression
data[sum] = k;,6,Array Access
--(*len);,9,Increment/Decrement
assert(z != NULL);,14,Exception Handling
auto value = fopen(size);,3,Declaration
x = i + result;,0,Assignment
extern bool flag;,3,Declaration
"ret = memcpy(len, 99);",0,Assignment
y = total || z;,11,Logical Expression
char *size = new bool[65];,13,Memory Allocation
return z + 74;,5,Return
if (index > 21) { },2,Conditional
err = rand(index);,0,Assignment
if (ret == 97) { },2,Conditional
return 127;,5,Return
z--;,9,Increment/Decrement
i = y ? n : index;,0,Assignment
z = malloc(sizeof(int64_t) * 77);,13,Memory Allocation
return 0;,5,Return
ret = k ^ 48;,10,Bitwise Operation
return (value == z) ? 1 : 0;,5,Return
return offset >= 0;,5,Return
header_init(&k);,4,Function Call
"double ret = 0, result = 112;",3,Declaration
double value = stack[result];,6,Array Access
"if (y < 94) throw std::out_of_range(""size"");",14,Exception Handling
count <<= 1;,9,Increment/Decrement
index = const_cast<char *>(index);,12,Cast Expression
offset = (int) exp(flag);,12,Cast Expression
"memset(index, scanf(n));",4,Function Call
"offset = memset(i, 22);",0,Assignment
"exp(size, index, 34);",4,Function Call
total->len = fclose(y);,8,Struct Access
do { } while (offset);,1,Loop
"if (count != 101) throw std::invalid_argument(""flag"");",14,Exception Handling
size = size / 48;,0,Assignment
"printf(""%s\n"", y);",4,Function Call
int64_t *j = (int64_t *) code;,12,Cast Expression
assert(temp > 125);,4,Function Call
"long sum, y;",3,Declaration
assert(k != NULL);,14,Exception Handling
if (!temp) throw std::runtime_error();,14,Exception Handling
if (!ret) throw std::out_of_range();,14,Exception Handling
for (float j = 0; z < 33; count++) { },1,Loop
count = static_cast<long>(count);,12,Cast Expression
j = (bool) index + 99;,12,Cast Expression
return !len;,5,Return
return NULL;,5,Return
code = data[result - 1];,6,Array Access
*offset = total;,7,Pointer Operation
flag = dynamic_cast<long *>(k);,12,Cast Expression
err = arr[70];,6,Array Access
auto n = scanf(x);,3,Declaration
try { } catch (...) { },14,Exception Handling
count &= 76;,10,Bitwise Operation
total = sizeof(offset);,0,Assignment
if (printf(temp) <= 59) { },2,Conditional
return fclose(sum);,5,Return
char code = 119 + 5;,3,Declaration
y = result;,0,Assignment
(--size);,9,Increment/Decrement
return (temp == flag) ? 1 : 0;,5,Return
"throw std::bad_alloc(""invalid "" + std::to_string(len));",14,Exception Handling
abs();,4,Function Call
value = ret + err + 6;,0,Assignment
return NULL;,5,Return
if (count == n && offset != 94) { },2,Conditional
temp = size >> 73;,10,Bitwise Operation
if (temp.data > 126) { },8,Struct Access
queue[y]--;,9,Increment/Decrement
nums[k]++;,9,Increment/Decrement
value = i + 101;,0,Assignment
"if (x < 0) throw std::runtime_error(""code"");",14,Exception Handling
auto x = log(err);,3,Declaration
return z * 80;,5,Return
assert(z != total);,14,Exception Handling
"abs(""sum"", 67);",4,Function Call
uint32_t i = k - 99;,3,Declaration
code = (temp >> 13) & 89;,10,Bitwise Operation
k = ret + 55;,0,Assignment
nums[ret - 1] = 72;,6,Array Access
return value - 75;,5,Return
return flag * 111;,5,Return
static bool count;,3,Declaration
if (flag == 125 || temp == 120) { },2,Conditional
++(*code);,9,Increment/Decrement
*index = total;,7,Pointer Operation
uint8_t y = (int) size;,12,Cast Expression
const double code = strlen(x);,3,Declaration
ret->left--;,9,Increment/Decrement
if (k != 84) { },2,Conditional
if (k <= 95) { },2,Conditional
return (int64_t) y;,12,Cast Expression
*k = memset(count);,7,Pointer Operation
ret->right = count->flags;,8,Struct Access
total ^= n;,10,Bitwise Operation
while (y) { },1,Loop
"printf(""%s\n"", code);",4,Function Call
return count % 114 == 0;,5,Return
ret = temp;,0,Assignment
extern uint8_t i;,3,Declaration
long ret = (int64_t) flag;,12,Cast Expression
count = x;,0,Assignment
queue[k + 88] = x;,6,Array Access
if (!code) throw std::out_of_range();,14,Exception Handling
buf[i + 51] = size;,6,Array Access
catch (const std::invalid_argument &temp) { },14,Exception Handling
for (int temp = 0; ret < 99; count++) total++;,9,Increment/Decrement
for (int size = 0; sum < value; ++flag) { },1,Loop
flag &= 60;,10,Bitwise Operation
return err + 42;,5,Return
z = nums[x][err];,6,Array Access
(len++);,9,Increment/Decrement
k = value * k;,0,Assignment
packet_init(&flag);,4,Function Call
"atoi(result, strlen(temp));",4,Function Call
if (x && value) { },11,Logical Expression
memset(85);,4,Function Call
double sum = y - 54;,3,Declaration
(--y);,9,Increment/Decrement
size_t *i = (int *) malloc(sizeof(uint32_t) * 1);,13,Memory Allocation
x->right = len->key + 70;,8,Struct Access
return rand(j);,5,Return
y = &offset;,7,Pointer Operation
sum = code * sum;,0,Assignment
return temp - 82;,5,Return
arr[value + 107] = err;,6,Array Access
j = (len >> 1) & 39;,10,Bitwise Operation
if (*count == 28) { },7,Pointer Operation
float *y = (size_t *) y;,7,Pointer Operation
value = !len;,11,Logical Expression
value <<= 63;,9,Increment/Decrement
if (!offset || !len) { },11,Logical Expression
return value == 6;,5,Return
size_t ret = (result && value);,11,Logical Expression
if (size == 61) { },2,Conditional
abs(log(offset));,4,Function Call
vals[sum] = 9;,6,Array Access
vals[code]--;,9,Increment/Decrement
flag = 112 * 118;,0,Assignment
temp = index / flag;,0,Assignment
"memcpy(i, x, 105);",4,Function Call
if ((z > 15) || (err == 29)) { },2,Conditional
"int err = 0, count = 40;",3,Declaration
"if ((ret = calloc(82, sizeof(float))) == NULL) { }",13,Memory Allocation
if (!(sum && offset)) { },11,Logical Expression
if (result == &k) { },7,Pointer Operation
len = total - 103;,0,Assignment
len->tail = exp(offset);,8,Struct Access
j &= i;,10,Bitwise Operation
"memset(offset, 0, 81);",13,Memory Allocation
fclose(z);,4,Function Call
int64_t len = static_cast<int64_t>(k);,12,Cast Expression
if ((sum < 89) && (y > 27) && flag) { },11,Logical Expression
size_t index = 37;,3,Declaration
sum = (char) strlen(code);,12,Cast Expression
z++;,9,Increment/Decrement
size_t y[56][13];,3,Declaration
stack[ret] = 117;,6,Array Access
while (y) { },1,Loop
k = (size_t) 104;,12,Cast Expression
for (uint32_t ret = 0; ret < 121; flag++) { },1,Loop
flag = sum && value;,11,Logical Expression
free(n); ret = NULL;,13,Memory Allocation
if ((sum & 77) == 0) { },10,Bitwise Operation
if (value->left > 39) { },8,Struct Access
y = sizeof(n);,0,Assignment
int offset = (uint8_t) 83;,3,Declaration
"k = realloc(code, sizeof(uint8_t) * 22);",13,Memory Allocation
result = vals[26 - 1];,6,Array Access
void *size = (void *) sum;,7,Pointer Operation
if (!(j && index)) { },11,Logical Expression
count = len;,0,Assignment
const uint8_t y = n + 102;,3,Declaration
++table[x];,9,Increment/Decrement
n = malloc(sizeof(int64_t));,13,Memory Allocation
"memset(""k"", 44);",4,Function Call
value = (temp > 5) || (i != 31);,11,Logical Expression
*ret = *offset;,7,Pointer Operation
return k == 85;,5,Return
len = (uint32_t) fopen(err);,12,Cast Expression
list[flag]++;,6,Array Access
int64_t code = rand(size);,3,Declaration
"if (flag != 45) throw std::runtime_error(""value"");",14,Exception Handling
for (int result = 0; n < 14; len++) queue[code] = 0;,6,Array Access
try { } catch (const std::bad_alloc &n) { } catch (...) { },14,Exception Handling
auto offset = 29;,3,Declaration
"rand(temp, flag, 52);",4,Function Call
return z->head;,8,Struct Access
for (int value = 0; ret < 109; result++) { },1,Loop
offset = k & err;,10,Bitwise Operation
if (size & k) { },10,Bitwise Operation
const float count = 10;,3,Declaration
assert(err > 0);,14,Exception Handling
std::unique_ptr<double> j = std::make_unique<int64_t>();,13,Memory Allocation
++size;,9,Increment/Decrement
if (len == 63 || temp == 127) { },2,Conditional
size = z ? 74 : 81;,0,Assignment
static char j;,3,Declaration
count = !(code <= 78);,11,Logical Expression
char size[14];,3,Declaration
++(*offset);,9,Increment/Decrement
if (err == 96) { },2,Conditional
if ((err > 19) && (j <= 127)) { },2,Conditional
err = k * result - 2;,0,Assignment
return len % 98 == 0;,5,Return
index = buf[87];,6,Array Access
size = err ? len : flag;,0,Assignment
temp = &z;,7,Pointer Operation
for (int value = 0; y <= 59; y++) { },1,Loop
z->right = index;,8,Struct Access
n = matrix[j][flag];,6,Array Access
i = value.tail;,8,Struct Access
rand(len);,4,Function Call
index.data--;,8,Struct Access
return size - 63;,5,Return
